Contenu_,Date_,Utilisateur_,Source_,ID_,Tweet URL
Ford livre des repas en voitures autonomes à Miami https://t.co/s7H0CQdNzS via @autoplus,2020-12-11 16:20:44,Alorscaroule,Twitter for Android,1337432137956548609,https://twitter.com/statuses/1337432137956548609
MERCATO: L’immense défi de Messi en Italie ? - https://t.co/j4glzIBbYk https://t.co/UyVmSNs2mI,2020-12-11 16:20:42,ebenesport,ebenesport autopublish,1337432130905845760,https://twitter.com/statuses/1337432130905845760
Le jeu de stratégie et de gestion en bac à sable HeatWave passe en mode survie sur Nintendo Switch et PC https://t.co/VlyRFyIw6m https://t.co/GDnXzbXdTO,2020-12-11 16:20:37,N_Difference,TweetDeck,1337432109619814402,https://twitter.com/statuses/1337432109619814402
"Eddie Van Halen fait partie des personnes les plus recherchées sur Google en 2020 
https://t.co/PA3sk4H9Xv https://t.co/lPKRZ73xzy",2020-12-11 16:20:24,MetalZoneFR,IFTTT,1337432055085461505,https://twitter.com/statuses/1337432055085461505
"Votez pour le meilleur album Metal/Rock de l'année 2020 ! (MetalZone Awards) 
https://t.co/D8ypZou3eR https://t.co/6DBed56VWJ",2020-12-11 16:20:20,MetalZoneFR,IFTTT,1337432035993022464,https://twitter.com/statuses/1337432035993022464
Ella's Absence Seizures Explained by Ella – EPIC https://t.co/hZkTVzdoQ3,2020-12-11 16:20:09,Topshelf_News,Revive Social App,1337431991013179393,https://twitter.com/statuses/1337431991013179393
"The game awards, les annonces - Shady Part of Me est disponible dès maintenant #gamer https://t.co/6wUix76vXn",2020-12-11 16:20:08,sociallytpp,SociallymapStaging,1337431988454764544,https://twitter.com/statuses/1337431988454764544
"Cyberpunk 2077 : oups, des pénis sortent des pantalons https://t.co/mLiRuKPZss https://t.co/20adLJ8XbY",2020-12-11 16:20:03,Hitekfr,dlvr.it,1337431965805395970,https://twitter.com/statuses/1337431965805395970
J'aime beaucoup les frères #Tadros ( #DigitalWorldCitizen) des vidéos courtes et fréquentes qui sortent en fonction de l' actualité. Ils méritent d'être supportés  https://t.co/nfpUoEKmyE,2020-12-11 16:19:59,catalanenb,Twitter for Android,1337431948575334401,https://twitter.com/statuses/1337431948575334401
"Persona 5 Strikers : On a vu la suite de Persona 5, et on est resté sur notre faim https://t.co/1nhw2Hybn8 via @Gameblog",2020-12-11 16:19:40,traztiep,Twitter Web App,1337431868401135618,https://twitter.com/statuses/1337431868401135618
"""Felicity Machado"" est ma 1093 ième source d'actualité... Notre présence interrogera-elle la pérennité des plateformes sociales en ligne?",2020-12-11 16:19:06,Hekkah_,Hekkah,1337431726797201409,https://twitter.com/statuses/1337431726797201409
"Un tournevis semble l'outil le plus simple au monde (sauf le marteau peut-être), mais cela arrive même aux meilleurs réparateurs d'abîmer une vis. Voici comment y remédier : https://t.co/v89ffvo3KZ https://t.co/1ZmmSpUbeS",2020-12-11 16:19:02,iFixitFR,Buffer,1337431708430446594,https://twitter.com/statuses/1337431708430446594
"Un sénateur républicain blanc et solitaire bloque la création de musées nationaux latino-américains et féminins. Le sénateur Mike Lee «ne croit pas que les femmes ou les Latinos méritaient leurs propres musées au Smithsonian».

https://t.co/rU4epgXTxm",2020-12-11 16:18:57,MarieMarysienka,Twitter Web App,1337431686531919872,https://twitter.com/statuses/1337431686531919872
"@EmmanuelMacron 
#ViolencesPolicières 
Manifestant tabassé par des policiers: mâchoire brisée + perte de 9 dents 
https://t.co/DiXVcqfdwq",2020-12-11 16:18:46,evarev1,Twitter for iPhone,1337431643108290569,https://twitter.com/statuses/1337431643108290569
